,job_title,working_type,salary_from,salary_to,experience
305,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
306,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
307,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
308,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
309,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
310,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
311,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
312,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
313,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
314,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
315,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
316,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
317,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
318,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
319,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
320,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
321,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
322,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
323,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
324,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
325,Продавец,полная занятость,42500.0,42500.0,без опыта
326,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
327,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
328,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
